t	e	n	u	dpe	dpn	dpu
2015.767300	-0.349452	-0.340339	0.482824	0.000824	0.000736	0.003152
2015.770000	-0.349856	-0.337268	0.487237	0.000814	0.000734	0.003073
2015.772800	-0.348530	-0.337914	0.485512	0.000800	0.000708	0.003028
2015.775500	-0.347903	-0.339065	0.479371	0.000813	0.000734	0.003138
2015.778200	-0.351453	-0.338161	0.477235	0.000835	0.000742	0.003183
2015.781000	-0.349940	-0.336986	0.482329	0.000827	0.000764	0.003306
2015.783700	-0.347413	-0.337650	0.487516	0.000837	0.000760	0.003214
2015.786400	-0.350421	-0.335276	0.487975	0.000834	0.000774	0.003207
2015.789200	-0.351996	-0.337385	0.485833	0.000845	0.000765	0.003267
2015.791900	-0.349863	-0.337582	0.497449	0.000806	0.000729	0.003142
2015.794700	-0.351331	-0.336236	0.489808	0.000790	0.000737	0.003044
2015.797400	-0.351088	-0.334903	0.481851	0.000810	0.000749	0.003115
2015.800100	-0.345874	-0.338242	0.487889	0.000806	0.000745	0.003085
2015.802900	-0.349776	-0.337339	0.483591	0.000844	0.000756	0.003259
2015.805600	-0.349086	-0.337565	0.498832	0.000804	0.000752	0.003144
2015.808400	-0.349475	-0.336596	0.487342	0.000809	0.000746	0.003140
2015.811100	-0.349313	-0.338882	0.495759	0.000814	0.000740	0.003157
2015.813800	-0.350976	-0.334615	0.496783	0.000831	0.000781	0.003250
2015.816600	-0.349462	-0.336030	0.498910	0.000830	0.000782	0.003308
2015.819300	-0.351033	-0.335731	0.487045	0.000817	0.000735	0.003091
2015.822000	-0.348328	-0.338091	0.490108	0.000797	0.000737	0.003096
2015.824800	-0.351430	-0.338363	0.492141	0.000810	0.000751	0.003135
2015.827500	-0.350894	-0.339218	0.494064	0.000792	0.000724	0.003041
2015.830300	-0.349524	-0.337661	0.499879	0.000799	0.000735	0.003126
2015.833000	-0.348849	-0.335933	0.497947	0.000768	0.000715	0.002945
2015.835700	-0.349195	-0.336621	0.491422	0.000806	0.000728	0.003049
2015.838500	-0.354323	-0.338108	0.491430	0.000828	0.000751	0.003178
2015.841200	-0.352777	-0.335088	0.492626	0.000806	0.000738	0.003051
2015.843900	-0.349119	-0.336323	0.497635	0.000835	0.000770	0.003151
2015.846700	-0.349327	-0.337908	0.491966	0.000812	0.000772	0.003184
2015.849400	-0.351071	-0.334780	0.488046	0.000794	0.000732	0.003076
2015.852200	-0.351223	-0.336654	0.488222	0.000806	0.000730	0.003058
2015.854900	-0.353014	-0.333788	0.484653	0.000818	0.000757	0.003143
2015.857600	-0.351731	-0.334226	0.484353	0.000814	0.000738	0.003099
2015.860400	-0.353030	-0.336029	0.491182	0.000852	0.000782	0.003332
